seqno,type,city,countycode,name,address,number,localcallservice
54,連鎖型綠色商店,新北市,65000,7-11元秀門市,220新北市板橋區莊敬路220巷17.19號,F001115,02-27478711#3961
55,連鎖型綠色商店,新北市,65000,7-11元町門市,239新北市鶯歌區光明路136號,F001158,02-27478711#3961
56,連鎖型綠色商店,新北市,65000,7-11公園賞門市,243新北市泰山區仁愛路66號,F001054,02-27478711#3961
57,連鎖型綠色商店,新北市,65000,7-11分子尾門市,241新北市三重區分子尾街45號,F001413,02-27478711#3961
58,連鎖型綠色商店,新北市,65000,7-11及人門市,231新北市新店區安民街72號,F000922,02-27478711#3961
59,連鎖型綠色商店,新北市,65000,7-11天下門市,237新北市三峽區中正路一段242.244號,F001395,02-27478711#3961
60,連鎖型綠色商店,新北市,65000,7-11天元門市,251新北市淡水區北新路三段34號,F001066,02-27478711#3961
61,連鎖型綠色商店,新北市,65000,7-11天台門市,241新北市三重區仁德里正義南路13.15號1樓,F001196,02-27478711#3961
62,連鎖型綠色商店,新北市,65000,7-11天城門市,235新北市中和區景平路240巷1弄4號,F001628,02-27478711#3961
63,連鎖型綠色商店,新北市,65000,7-11天勝門市,241新北市三重區仁愛街687號,F001385,02-27478711#3961
64,連鎖型綠色商店,新北市,65000,7-11天龍門市,241新北市三重區龍門路217.219.221號,F000946,02-27478711#3961
65,連鎖型綠色商店,新北市,65000,7-11天闊門市,231新北市新店區環河路16號,F001267,02-27478711#3961
66,連鎖型綠色商店,新北市,65000,7-11太子門市,236新北市土城區中山路47號,F001348,02-27478711#3961
67,連鎖型綠色商店,新北市,65000,7-11太順門市,238新北市樹林區太順街49巷2號,F001529,02-27478711#3961
68,連鎖型綠色商店,新北市,65000,7-11心心門市,220新北市板橋區實踐路105.107號,F001615,02-27478711#3961
69,連鎖型綠色商店,新北市,65000,7-11文青門市,236新北市土城區青雲路243.245號,F001331,02-27478711#3961
70,連鎖型綠色商店,新北市,65000,7-11文聖門市,220新北市板橋區文聖街64號,F001446,02-27478711#3961
71,連鎖型綠色商店,新北市,65000,7-11文豪門市,247新北市蘆洲區民族路321號,F001224,02-27478711#3961
72,連鎖型綠色商店,新北市,65000,7-11文興門市,241新北市三重區文化南路7號,F000988,02-27478711#3961
73,連鎖型綠色商店,新北市,65000,7-11日勝門市,243新北市泰山區山腳村泰林路2段515.517號.,F001077,02-27478711#3961
74,連鎖型綠色商店,新北市,65000,7-11日揚門市,241新北市三重區中正北路18-1號,F001564,02-27478711#3961
75,連鎖型綠色商店,新北市,65000,7-11日福門市,235新北市中和區中和路380號,F001591,02-27478711#3961
76,連鎖型綠色商店,新北市,65000,7-11水源門市,234新北市中和區中山路2段62號,F001038,02-27478711#3961
77,連鎖型綠色商店,新北市,65000,7-11水碓門市,248新北市五股區水碓路14號,F001080,02-27478711#3961
78,連鎖型綠色商店,新北市,65000,7-11水鑫門市,251新北市淡水區大忠街83號,F001427,02-27478711#3961
79,連鎖型綠色商店,新北市,65000,7-11加州門市,242新北市新莊區中平路81巷2號,F001448,02-27478711#3961
80,連鎖型綠色商店,新北市,65000,7-11北宜門市,231新北市新店區北宜路二段82號之2.,F000574,02-27478711#3961
81,連鎖型綠色商店,新北市,65000,7-11北海門市,208新北市金山鄉中山路105號,F001542,02-27478711#3961
82,連鎖型綠色商店,新北市,65000,7-11北深門市,222新北市深坑區北深路二段183號,F001318,02-27478711#3961
83,連鎖型綠色商店,新北市,65000,7-11北新門市,231新北市新店區北新路1段289.291號,F001553,02-27478711#3961
84,連鎖型綠色商店,新北市,65000,7-11北福門市,234新北市永和區福和路128號,F001411,02-27478711#3961
85,連鎖型綠色商店,新北市,65000,7-11北學一門市,237新北市三峽區大學路151號B1(商學大樓B1),F001151,02-27478711#3961
86,連鎖型綠色商店,新北市,65000,7-11北學二門市,237新北市三峽區大學路151號1樓,F001466,02-27478711#3961
87,連鎖型綠色商店,新北市,65000,7-11台藝大門市,220新北市板橋區大觀路一段59號,F001482,02-27478711#3961
88,連鎖型綠色商店,新北市,65000,7-11巨門門市,235新北市中和區中山路二段380號之1,F001261,02-27478711#3961
89,連鎖型綠色商店,新北市,65000,7-11巧立門市,251新北市淡水區北新路184巷57.59號1樓,F001043,02-27478711#3961
90,連鎖型綠色商店,新北市,65000,7-11左岸門市,249新北市八里區龍米路2段246號,F001528,02-27478711#3961
91,連鎖型綠色商店,新北市,65000,7-11平安門市,241新北市三重區正義北路51號.,F001531,02-27478711#3961
92,連鎖型綠色商店,新北市,65000,7-11平埔門市,222新北市深坑區文化街82號,F001141,02-27478711#3961
93,連鎖型綠色商店,新北市,65000,7-11弘安門市,242新北市新莊區萬安街82.84號,F001078,02-27478711#3961
94,連鎖型綠色商店,新北市,65000,7-11弘龍門市,248新北市五股區工商路16號,F001210,02-27478711#3961
95,連鎖型綠色商店,新北市,65000,7-11未來門市,244新北市林口區文化二路一段553號,F001244,02-27478711#3961
96,連鎖型綠色商店,新北市,65000,7-11正大門市,241新北市三重區中正北路235號,F001464,02-27478711#3961
97,連鎖型綠色商店,新北市,65000,7-11正民門市,231新北市新店區中正路506號,F001619,02-27478711#3961
98,連鎖型綠色商店,新北市,65000,7-11正孝門市,241新北市三重區忠孝路2段160號,F000936,02-27478711#3961
99,連鎖型綠色商店,新北市,65000,7-11正南門市,241新北市三重區正義南路67.69號,F001371,02-27478711#3961
100,連鎖型綠色商店,新北市,65000,7-11正泰門市,220新北市板橋區三民路二段202-18號,F001350,02-27478711#3961
